id,neighborhood,host_since,superhost,host_acceptance_rate,host_total_listings,room_type,accommodates,bathrooms,bedrooms,beds,price,min_nights,total_reviews,avg_rating
932,Capitol Hill,8/18/2017,F,0.76,51,Shared room,5,1 shared bath,,6,33,1,14,4.14
933,Capitol Hill,8/18/2017,F,0.76,51,Shared room,4,1 shared bath,,6,30,1,47,4.28
934,Shaw,1/11/2018,T,0.98,1,Entire home/apt,3,1 bath,1,2,194,3,165,4.99
936,Shaw,7/27/2015,T,1,2,Entire home/apt,4,1 bath,1,2,148,1,383,4.9
938,Union Station,1/13/2018,F,0.96,1,Entire home/apt,4,1 bath,1,2,130,2,78,4.95
941,Dupont Circle,7/29/2015,F,0.99,339,Entire home/apt,4,1 bath,1,2,299,30,36,4.81
942,Capitol Hill,9/6/2012,F,0.9,1,Entire home/apt,3,1 bath,1,1,150,2,153,4.82
943,Union Station,1/19/2018,T,1,1,Entire home/apt,8,2.5 baths,3,4,459,3,159,4.94
947,Foggy Bottom,1/29/2018,F,,1,Entire home/apt,3,1 bath,,2,157,180,25,4.44
948,Shaw,10/28/2013,T,0.99,16,Entire home/apt,4,1 bath,2,2,104,31,138,4.9
949,Dupont Circle,4/1/2013,F,,2,Entire home/apt,3,1 bath,1,1,125,31,87,4.94
950,Shaw,1/28/2018,F,0.99,1,Entire home/apt,4,1 bath,2,2,150,1,311,4.42
952,Union Station,10/2/2011,T,1,1,Entire home/apt,4,1 bath,,2,77,2,240,4.78
955,Shaw,8/7/2014,T,1,1,Entire home/apt,4,1 bath,,1,105,2,227,4.7
957,Dupont Circle,7/29/2015,F,0.99,339,Entire home/apt,2,1 bath,1,1,147,1,241,4.63
960,Capitol Hill,5/23/2014,F,,1,Entire home/apt,6,2.5 baths,2,3,140,31,14,4.92
961,Dupont Circle,9/8/2014,T,0.97,10,Entire home/apt,1,1 bath,,1,70,182,1,5
965,Shaw,5/5/2016,F,1,3,Entire home/apt,3,1 bath,1,2,132,3,238,4.88
969,Union Station,3/15/2016,T,1,2,Entire home/apt,3,1 bath,1,2,109,1,287,4.91
971,Union Station,3/14/2018,T,0.98,1,Entire home/apt,4,1 bath,1,2,160,2,304,4.85
976,Shaw,10/14/2013,F,,1,Entire home/apt,2,1 bath,1,1,90,31,4,5
977,Dupont Circle,8/1/2015,F,,5,Entire home/apt,2,1 bath,,1,68,31,20,4.95
980,Shaw,11/3/2015,F,0,2,Entire home/apt,2,1 bath,,1,75,31,26,4.68
984,Union Station,6/11/2016,T,0.99,2,Entire home/apt,6,1 bath,1,3,115,1,330,4.9
987,Union Station,4/2/2018,F,1,10,Entire home/apt,4,1 bath,1,2,125,31,170,4.73
988,Union Station,3/12/2014,T,1,1,Entire home/apt,2,1 bath,,1,124,2,106,5
989,Shaw,4/6/2018,F,0.83,11,Entire home/apt,4,1 bath,2,2,105,31,82,4.73
990,Foggy Bottom,4/10/2016,F,,1,Entire home/apt,1,1 bath,1,1,75,180,2,5
994,Dupont Circle,5/31/2016,F,,1,Entire home/apt,2,1 bath,1,1,135,31,1,5
995,Shaw,7/27/2015,T,1,2,Entire home/apt,5,1 bath,1,2,140,1,315,4.89
1000,Foggy Bottom,9/17/2014,T,1,2,Entire home/apt,3,1.5 baths,1,1,171,31,46,4.93
1001,Shaw,6/19/2013,T,0.99,1,Entire home/apt,2,1 bath,1,1,142,2,395,4.95
1005,Union Station,4/10/2014,F,0,2,Entire home/apt,4,2.5 baths,2,2,172,31,2,5
1008,Dupont Circle,4/28/2018,T,1,1,Entire home/apt,2,2 baths,2,2,140,31,67,4.99
1014,Capitol Hill,5/1/2018,T,1,1,Entire home/apt,4,1 bath,1,1,134,1,370,4.78
1016,Capitol Hill,4/18/2015,F,0.75,7,Entire home/apt,4,2.5 baths,2,2,189,31,99,4.94
1017,Georgetown,10/6/2014,F,1,4,Entire home/apt,6,1 bath,3,4,258,30,74,4.68
1018,Shaw,5/21/2012,F,0.97,5,Entire home/apt,6,2 baths,2,3,300,3,112,4.46
1020,Capitol Hill,5/14/2018,F,0.99,4,Entire home/apt,10,3 baths,5,5,792,2,182,4.82
1021,Capitol Hill,8/6/2013,T,0.99,1,Entire home/apt,2,1 bath,,1,80,3,288,4.99
1023,Dupont Circle,3/5/2015,T,0.73,6,Entire home/apt,4,1 bath,1,2,110,31,137,4.82
